gtin,brand,product_name,size,category,image_url,source
9710903587331,Coca-Cola,Coca-Cola Ice Cream,500 ml,Cereal,https://dummyimage.com/200x200/000/fff&text=Ice+Cream,Retail786k
0185572801801,Nestle,Nestle Chips,1500 ml,Snacks,https://dummyimage.com/200x200/000/fff&text=Chips,OpenFoodFacts
5154844147256,Mars,Mars Cereal Box,750 g,Frozen,https://dummyimage.com/200x200/000/fff&text=Cereal+Box,RP2K
8274099053625,Colgate,Colgate Soap,330 ml,Bakery,https://dummyimage.com/200x200/000/fff&text=Soap,RP2K
5016531064331,Pepsi,Pepsi Shampoo,500 g,Personal Care,https://dummyimage.com/200x200/000/fff&text=Shampoo,HoloSelecta
7737962029918,Unilever,Unilever Chocolate Bar,1500 g,Bakery,https://dummyimage.com/200x200/000/fff&text=Chocolate+Bar,OpenFoodFacts
6015244254540,Johnson & Johnson,Johnson & Johnson Cookies,500 g,Bakery,https://dummyimage.com/200x200/000/fff&text=Cookies,HoloSelecta
8346016425195,Kellogg's,Kellogg's Toothpaste,330 g,Dairy,https://dummyimage.com/200x200/000/fff&text=Toothpaste,RP2K
2692947783801,Danone,Danone Cheese,250 ml,Frozen,https://dummyimage.com/200x200/000/fff&text=Cheese,RP2K
8931856305174,Danone,Danone Laundry Detergent,330 ml,Frozen,https://dummyimage.com/200x200/000/fff&text=Laundry+Detergent,OpenFoodFacts
3730317040471,P&G,P&G Chocolate Bar,330 g,Bakery,https://dummyimage.com/200x200/000/fff&text=Chocolate+Bar,RP2K
1421163696487,L'Oréal,L'Oréal Cookies,750 ml,Cereal,https://dummyimage.com/200x200/000/fff&text=Cookies,OpenFoodFacts
0378509919179,Heinz,Heinz Toothpaste,500 g,Personal Care,https://dummyimage.com/200x200/000/fff&text=Toothpaste,HoloSelecta
1871863248774,Heinz,Heinz Yogurt,330 g,Beverages,https://dummyimage.com/200x200/000/fff&text=Yogurt,Retail786k
6656259633489,Mars,Mars Laundry Detergent,1500 ml,Household,https://dummyimage.com/200x200/000/fff&text=Laundry+Detergent,RP2K
8880422225883,Johnson & Johnson,Johnson & Johnson Cheese,1500 ml,Cereal,https://dummyimage.com/200x200/000/fff&text=Cheese,HoloSelecta
7709615387300,P&G,P&G Cheese,500 ml,Household,https://dummyimage.com/200x200/000/fff&text=Cheese,RP2K
6069658457110,Pepsi,Pepsi Orange Juice,330 ml,Household,https://dummyimage.com/200x200/000/fff&text=Orange+Juice,Retail786k
1661859461672,Kellogg's,Kellogg's Ice Cream,1500 g,Dairy,https://dummyimage.com/200x200/000/fff&text=Ice+Cream,RP2K
5929553020455,Mars,Mars Ice Cream,750 ml,Snacks,https://dummyimage.com/200x200/000/fff&text=Ice+Cream,OpenFoodFacts
4135404980644,Johnson & Johnson,Johnson & Johnson Laundry Detergent,750 g,Beverages,https://dummyimage.com/200x200/000/fff&text=Laundry+Detergent,OpenFoodFacts
6648088416401,Unilever,Unilever Bread,330 g,Beverages,https://dummyimage.com/200x200/000/fff&text=Bread,HoloSelecta
3077208555837,Coca-Cola,Coca-Cola Cola,1000 ml,Beverages,https://dummyimage.com/200x200/000/fff&text=Cola,HoloSelecta
8025060797679,Pepsi,Pepsi Toothpaste,500 ml,Bakery,https://dummyimage.com/200x200/000/fff&text=Toothpaste,HoloSelecta
7170136386316,General Mills,General Mills Yogurt,1000 ml,Frozen,https://dummyimage.com/200x200/000/fff&text=Yogurt,HoloSelecta
0525821466373,Nestle,Nestle Cereal Box,330 ml,Cereal,https://dummyimage.com/200x200/000/fff&text=Cereal+Box,Retail786k
6654581494730,L'Oréal,L'Oréal Laundry Detergent,1000 ml,Dairy,https://dummyimage.com/200x200/000/fff&text=Laundry+Detergent,Retail786k
9416852987634,Colgate,Colgate Soap,330 g,Personal Care,https://dummyimage.com/200x200/000/fff&text=Soap,Retail786k
1342634809161,Mondelez,Mondelez Chocolate Bar,1000 ml,Household,https://dummyimage.com/200x200/000/fff&text=Chocolate+Bar,OpenFoodFacts
4886969517089,Pepsi,Pepsi Bread,1500 g,Frozen,https://dummyimage.com/200x200/000/fff&text=Bread,OpenFoodFacts
1795667717581,Colgate,Colgate Ice Cream,750 g,Household,https://dummyimage.com/200x200/000/fff&text=Ice+Cream,OpenFoodFacts
1349295402045,Kellogg's,Kellogg's Toothpaste,1000 ml,Household,https://dummyimage.com/200x200/000/fff&text=Toothpaste,RP2K
0223863486488,Mondelez,Mondelez Chocolate Bar,1500 ml,Frozen,https://dummyimage.com/200x200/000/fff&text=Chocolate+Bar,OpenFoodFacts
1078461881185,Colgate,Colgate Soap,750 g,Cereal,https://dummyimage.com/200x200/000/fff&text=Soap,Retail786k
6806872616677,Heinz,Heinz Cheese,1500 ml,Dairy,https://dummyimage.com/200x200/000/fff&text=Cheese,OpenFoodFacts
5477837828766,Danone,Danone Cheese,1500 ml,Beverages,https://dummyimage.com/200x200/000/fff&text=Cheese,Retail786k
1914163399903,Nestle,Nestle Cola,1000 g,Frozen,https://dummyimage.com/200x200/000/fff&text=Cola,RP2K
8064958449962,Mars,Mars Soap,330 ml,Beverages,https://dummyimage.com/200x200/000/fff&text=Soap,OpenFoodFacts
7711996381839,P&G,P&G Yogurt,250 ml,Personal Care,https://dummyimage.com/200x200/000/fff&text=Yogurt,HoloSelecta
4511807860132,Kellogg's,Kellogg's Soap,250 ml,Frozen,https://dummyimage.com/200x200/000/fff&text=Soap,OpenFoodFacts
0412929525500,Colgate,Colgate Cola,330 ml,Snacks,https://dummyimage.com/200x200/000/fff&text=Cola,HoloSelecta
1873007274441,Heinz,Heinz Laundry Detergent,500 ml,Beverages,https://dummyimage.com/200x200/000/fff&text=Laundry+Detergent,Retail786k
7031412465685,Coca-Cola,Coca-Cola Chocolate Bar,750 g,Cereal,https://dummyimage.com/200x200/000/fff&text=Chocolate+Bar,OpenFoodFacts
7893781054644,Nestle,Nestle Cookies,1500 g,Bakery,https://dummyimage.com/200x200/000/fff&text=Cookies,OpenFoodFacts
7809084476649,Danone,Danone Cookies,1000 g,Cereal,https://dummyimage.com/200x200/000/fff&text=Cookies,OpenFoodFacts
7826156593790,Coca-Cola,Coca-Cola Chocolate Bar,1500 ml,Cereal,https://dummyimage.com/200x200/000/fff&text=Chocolate+Bar,RP2K
9685559501690,Danone,Danone Toothpaste,1000 ml,Bakery,https://dummyimage.com/200x200/000/fff&text=Toothpaste,OpenFoodFacts
5141748863627,Heinz,Heinz Yogurt,750 ml,Dairy,https://dummyimage.com/200x200/000/fff&text=Yogurt,HoloSelecta
1041201838169,Johnson & Johnson,Johnson & Johnson Cola,1000 ml,Beverages,https://dummyimage.com/200x200/000/fff&text=Cola,RP2K
4950983848105,Nestle,Nestle Ice Cream,500 g,Personal Care,https://dummyimage.com/200x200/000/fff&text=Ice+Cream,HoloSelecta
2571608043495,Johnson & Johnson,Johnson & Johnson Cereal Box,1500 g,Frozen,https://dummyimage.com/200x200/000/fff&text=Cereal+Box,Retail786k
4789836066911,General Mills,General Mills Ice Cream,1000 g,Dairy,https://dummyimage.com/200x200/000/fff&text=Ice+Cream,RP2K
7196765718199,L'Oréal,L'Oréal Cookies,1000 ml,Personal Care,https://dummyimage.com/200x200/000/fff&text=Cookies,RP2K
1572100333719,P&G,P&G Cereal Box,500 ml,Cereal,https://dummyimage.com/200x200/000/fff&text=Cereal+Box,HoloSelecta
4152610591112,Heinz,Heinz Toothpaste,330 g,Snacks,https://dummyimage.com/200x200/000/fff&text=Toothpaste,OpenFoodFacts
3890459055112,Nestle,Nestle Shampoo,1000 ml,Bakery,https://dummyimage.com/200x200/000/fff&text=Shampoo,OpenFoodFacts
1259315086752,Nestle,Nestle Cola,1000 g,Bakery,https://dummyimage.com/200x200/000/fff&text=Cola,RP2K
4413185915810,Coca-Cola,Coca-Cola Yogurt,250 ml,Bakery,https://dummyimage.com/200x200/000/fff&text=Yogurt,Retail786k
3846031296404,Danone,Danone Orange Juice,1500 g,Personal Care,https://dummyimage.com/200x200/000/fff&text=Orange+Juice,HoloSelecta
6086844179175,Johnson & Johnson,Johnson & Johnson Bread,1000 g,Snacks,https://dummyimage.com/200x200/000/fff&text=Bread,HoloSelecta
5560549686660,Coca-Cola,Coca-Cola Orange Juice,500 g,Dairy,https://dummyimage.com/200x200/000/fff&text=Orange+Juice,HoloSelecta
8339414151100,Mars,Mars Toothpaste,250 ml,Frozen,https://dummyimage.com/200x200/000/fff&text=Toothpaste,HoloSelecta
7061860418803,Kellogg's,Kellogg's Chocolate Bar,1500 g,Bakery,https://dummyimage.com/200x200/000/fff&text=Chocolate+Bar,OpenFoodFacts
0692935778620,L'Oréal,L'Oréal Yogurt,1500 ml,Frozen,https://dummyimage.com/200x200/000/fff&text=Yogurt,HoloSelecta
2169322041103,Mondelez,Mondelez Toothpaste,1000 ml,Beverages,https://dummyimage.com/200x200/000/fff&text=Toothpaste,RP2K
3921421794026,Mondelez,Mondelez Yogurt,1500 g,Snacks,https://dummyimage.com/200x200/000/fff&text=Yogurt,RP2K
1983035618183,Heinz,Heinz Orange Juice,1000 ml,Bakery,https://dummyimage.com/200x200/000/fff&text=Orange+Juice,OpenFoodFacts
8880070851694,P&G,P&G Laundry Detergent,1500 g,Cereal,https://dummyimage.com/200x200/000/fff&text=Laundry+Detergent,HoloSelecta
